ticker,time,open,close,high,low,volume
VNINDEX,2025-08-04,1493.37,1528.19,1528.21,1491.11,1229695208
VNINDEX,2025-08-05,1547.19,1547.15,1584.98,1519.08,2698901575
VNINDEX,2025-08-06,1558.56,1573.71,1574.34,1547.15,1329752984
VNINDEX,2025-08-07,1587.84,1581.81,1588.38,1567.72,1610898102
VNINDEX,2025-08-08,1589.58,1584.95,1592.52,1565.45,1820837623
VNINDEX,2025-08-11,1590.98,1596.86,1601.79,1584.95,1590494840
VNINDEX,2025-08-12,1603.5,1608.22,1608.34,1591.18,1584416741
VNINDEX,2025-08-13,1615.57,1611.6,1618.31,1585.54,1867294220
VNINDEX,2025-08-14,1623.18,1640.69,1641.28,1611.6,1758036899
VNINDEX,2025-08-15,1658.24,1630.0,1666.54,1615.26,2013211159
MWG,2025-08-04,65.2,67.0,67.0,65.2,8215628
MWG,2025-08-05,67.3,69.3,69.5,66.0,15704906
MWG,2025-08-06,68.9,72.4,72.4,68.5,18016382
MWG,2025-08-07,72.7,72.4,72.8,71.6,8105016
MWG,2025-08-08,72.6,72.0,72.8,70.5,11125451
MWG,2025-08-11,72.0,72.1,73.7,71.7,10686203
MWG,2025-08-12,72.3,72.2,72.5,71.0,7814892
MWG,2025-08-13,72.5,70.9,72.5,70.0,11749045
MWG,2025-08-14,71.0,71.9,71.9,70.1,9938554
MWG,2025-08-15,72.0,70.5,72.3,69.8,9122157
PNJ,2025-08-04,86.0,86.5,86.9,84.0,777310
PNJ,2025-08-05,86.4,85.5,86.6,85.5,1008389
PNJ,2025-08-06,85.5,86.3,86.6,85.5,447835
PNJ,2025-08-07,86.5,86.4,87.9,86.2,553503
PNJ,2025-08-08,87.0,85.8,87.0,85.7,754683
PNJ,2025-08-11,86.3,86.5,87.0,86.0,520386
PNJ,2025-08-12,86.5,87.5,87.5,86.5,780656
PNJ,2025-08-13,87.5,88.0,89.1,86.9,1129320
PNJ,2025-08-14,88.0,88.0,88.2,86.4,790897
PNJ,2025-08-15,88.0,86.2,88.0,86.0,810880
FRT,2025-08-04,153.9,154.2,154.2,151.8,416116
FRT,2025-08-05,152.1,151.0,153.4,151.0,1143243
FRT,2025-08-06,151.0,154.0,154.0,150.6,564926
FRT,2025-08-07,152.8,152.0,153.5,152.0,272254
FRT,2025-08-08,152.0,151.5,153.0,151.1,560580
FRT,2025-08-11,151.3,151.0,152.5,150.5,847086
FRT,2025-08-12,151.0,150.0,151.0,149.0,922126
FRT,2025-08-13,151.0,148.2,151.0,147.5,672395
FRT,2025-08-14,147.8,143.1,148.0,143.1,1100006
FRT,2025-08-15,143.3,142.5,145.0,138.0,1032478
DGW,2025-08-04,43.5,44.7,44.7,43.5,1590279
DGW,2025-08-05,45.0,43.7,45.35,41.65,3419276
DGW,2025-08-06,44.05,46.7,46.75,43.5,6400138
DGW,2025-08-07,47.1,46.45,47.1,45.7,2924036
DGW,2025-08-08,46.5,45.8,47.5,45.35,5566841
DGW,2025-08-11,46.15,47.3,47.4,45.85,5952402
DGW,2025-08-12,48.5,48.15,49.5,47.45,4168254
DGW,2025-08-13,48.05,46.6,48.3,46.1,5620374
DGW,2025-08-14,47.0,46.35,47.1,45.6,4483200
DGW,2025-08-15,46.8,45.4,46.8,44.35,3870379
PET,2025-08-04,35.95,36.3,36.9,34.5,3268628
PET,2025-08-05,37.5,33.8,38.25,33.8,4357465
PET,2025-08-06,34.6,34.15,35.15,33.75,3288308
PET,2025-08-07,35.1,33.65,35.1,33.3,3138600
PET,2025-08-08,33.6,33.5,34.6,32.85,3488573
PET,2025-08-11,33.8,35.8,35.8,33.45,5038197
PET,2025-08-12,36.0,36.65,38.25,35.8,3516606
PET,2025-08-13,37.0,35.6,37.0,34.15,4041650
PET,2025-08-14,36.1,34.9,36.1,34.7,2628907
PET,2025-08-15,35.45,36.1,36.9,34.8,4639323
HAX,2025-08-04,16.4,16.55,16.65,16.15,2852525
HAX,2025-08-05,16.6,15.45,16.6,15.4,15933508
HAX,2025-08-06,15.45,15.15,15.45,14.9,5148243
HAX,2025-08-07,15.25,15.2,15.55,15.1,3755156
HAX,2025-08-08,15.2,14.75,15.2,14.6,7115208
HAX,2025-08-11,14.85,14.85,15.2,14.7,3872636
HAX,2025-08-12,14.9,15.2,15.5,14.9,3468079
HAX,2025-08-13,15.25,15.0,15.3,14.85,3188939
HAX,2025-08-14,15.1,14.7,15.1,14.6,4401086
HAX,2025-08-15,14.7,14.1,14.8,14.0,5302535
