ticker,time,open,close,high,low,volume
VNINDEX,2025-04-04,1159.33,1210.67,1210.67,1158.17,1777882039
VNINDEX,2025-04-08,1173.14,1132.79,1174.4,1130.98,989102100
VNINDEX,2025-04-09,1073.61,1094.3,1141.35,1073.61,1464120095
VNINDEX,2025-04-10,1166.09,1168.34,1168.4,1165.86,215166632
VNINDEX,2025-04-11,1185.86,1222.46,1222.46,1180.59,1617665830
VNINDEX,2025-04-14,1235.01,1241.44,1242.94,1226.06,913684312
VNINDEX,2025-04-15,1232.64,1227.79,1246.21,1221.75,939049220
VNINDEX,2025-04-16,1225.29,1210.3,1233.84,1205.93,713035992
VNINDEX,2025-04-17,1201.63,1217.25,1217.25,1197.5,657997453
VNINDEX,2025-04-18,1228.37,1219.12,1234.67,1219.12,977508165
VHM,2025-04-04,46.1,50.3,50.6,46.1,21602506
VHM,2025-04-08,48.7,47.0,49.5,46.8,21443611
VHM,2025-04-09,45.6,48.5,48.8,45.6,15157353
VHM,2025-04-10,51.8,51.8,51.8,51.8,755433
VHM,2025-04-11,51.8,53.5,53.7,51.0,14563997
VHM,2025-04-14,54.0,57.2,57.2,53.7,16836362
VHM,2025-04-15,57.9,57.5,60.5,57.2,15971894
VHM,2025-04-16,57.0,56.5,57.9,55.0,10850472
VHM,2025-04-17,56.0,56.8,56.8,54.8,6342465
VHM,2025-04-18,56.8,55.0,57.0,53.3,13536915
VIC,2025-04-04,54.2,58.3,59.5,53.4,14566073
VIC,2025-04-08,58.0,55.1,58.0,54.3,11583072
VIC,2025-04-09,52.1,57.0,58.4,52.1,13010388
VIC,2025-04-10,60.9,60.9,60.9,60.9,3810300
VIC,2025-04-11,59.7,65.1,65.1,59.7,13375592
VIC,2025-04-14,66.5,69.6,69.6,66.0,8836729
VIC,2025-04-15,70.4,70.5,74.4,70.0,12287927
VIC,2025-04-16,70.6,67.9,72.0,67.4,7559258
VIC,2025-04-17,67.7,71.0,71.0,67.2,8073676
VIC,2025-04-18,71.8,66.1,71.8,66.1,10586580
VRE,2025-04-04,17.45,18.8,18.8,17.45,27124735
VRE,2025-04-08,18.0,17.5,18.15,17.5,20769220
VRE,2025-04-09,16.5,18.0,18.35,16.5,24618599
VRE,2025-04-10,19.25,19.25,19.25,19.25,1893392
VRE,2025-04-11,19.1,19.4,19.6,18.85,16430408
VRE,2025-04-14,19.5,20.3,20.35,19.25,18459046
VRE,2025-04-15,20.3,20.3,20.7,19.95,19247549
VRE,2025-04-16,20.2,20.4,21.1,20.15,19676935
VRE,2025-04-17,20.25,20.4,20.6,20.1,9661331
VRE,2025-04-18,20.45,20.4,21.0,19.55,19001762
KDH,2025-04-04,27.7,28.0,28.5,27.7,9816280
KDH,2025-04-08,26.1,26.05,26.3,26.05,1712113
KDH,2025-04-09,24.25,24.25,24.25,24.25,1114291
KDH,2025-04-10,25.9,25.9,25.9,25.9,4335110
KDH,2025-04-11,25.85,27.5,27.7,24.3,8117186
KDH,2025-04-14,27.5,27.8,28.05,26.4,5243040
KDH,2025-04-15,27.2,27.05,27.45,26.55,3749388
KDH,2025-04-16,27.0,26.8,27.0,26.2,3385558
KDH,2025-04-17,26.15,26.9,26.9,26.0,2862893
KDH,2025-04-18,27.0,26.85,27.35,26.75,2417747
SSH,2025-04-04,89.9,83.2,89.9,76.8,5228
SSH,2025-04-08,80.2,81.8,82.5,72.1,3318
SSH,2025-04-09,80.0,80.0,80.4,79.6,10811
SSH,2025-04-10,78.5,90.0,92.0,78.5,7141
SSH,2025-04-11,84.3,89.9,90.0,84.3,9821
SSH,2025-04-14,89.9,83.8,89.9,80.0,8731
SSH,2025-04-15,83.6,80.2,83.8,80.0,12419
SSH,2025-04-16,80.4,81.0,82.5,80.4,14405
SSH,2025-04-17,80.5,81.2,82.0,80.5,17802
SSH,2025-04-18,81.3,81.5,82.5,81.3,13429
NVL,2025-04-04,8.91,9.1,9.42,8.91,21055882
NVL,2025-04-08,9.1,8.47,9.1,8.47,19632157
NVL,2025-04-09,7.88,8.1,8.49,7.88,14289770
NVL,2025-04-10,8.66,8.66,8.66,8.66,523431
NVL,2025-04-11,9.26,9.26,9.26,8.93,17095287
NVL,2025-04-14,9.35,9.23,9.35,9.15,7952866
NVL,2025-04-15,9.23,9.25,9.7,9.16,12010047
NVL,2025-04-16,9.25,9.37,9.63,9.25,7671145
NVL,2025-04-17,9.3,9.36,9.48,9.1,6284919
NVL,2025-04-18,9.5,9.67,9.87,9.44,11563265
NLG,2025-04-04,29.9,29.9,30.8,29.9,5201409
NLG,2025-04-08,27.85,27.85,28.2,27.85,2561183
NLG,2025-04-09,25.95,25.95,26.4,25.95,6438653
NLG,2025-04-10,27.75,27.75,27.75,27.75,1424154
NLG,2025-04-11,27.75,29.3,29.5,26.0,8507074
NLG,2025-04-14,29.3,29.6,29.7,28.45,3634808
NLG,2025-04-15,28.85,29.0,29.15,28.1,3538342
NLG,2025-04-16,29.0,28.4,29.0,28.15,2286551
NLG,2025-04-17,27.65,28.4,28.4,27.25,3214209
NLG,2025-04-18,28.65,28.0,28.9,28.0,2045302
PDR,2025-04-04,16.9,17.35,17.35,16.9,14505235
PDR,2025-04-08,16.15,16.15,16.7,16.15,2245595
PDR,2025-04-09,15.05,15.05,15.4,15.05,7904367
PDR,2025-04-10,16.1,16.1,16.1,16.1,4395363
PDR,2025-04-11,15.2,17.0,17.0,15.05,20961779
PDR,2025-04-14,16.95,17.15,17.15,16.45,8033014
PDR,2025-04-15,16.7,16.5,17.05,16.2,9226638
PDR,2025-04-16,16.45,16.5,16.55,16.1,7218168
PDR,2025-04-17,16.1,16.55,16.55,15.95,8562383
PDR,2025-04-18,16.55,16.4,16.8,16.25,6099231
DIG,2025-04-04,17.25,17.25,17.75,17.25,22530438
DIG,2025-04-08,16.05,16.05,16.5,16.05,4086707
DIG,2025-04-09,14.95,14.95,14.95,14.95,2973086
DIG,2025-04-10,15.95,15.95,15.95,15.95,28276103
DIG,2025-04-11,15.35,16.65,16.7,15.0,26968938
DIG,2025-04-14,16.75,16.4,16.85,15.65,20789541
DIG,2025-04-15,16.1,15.65,16.7,15.65,17599910
DIG,2025-04-16,15.7,15.2,15.95,15.2,12809550
DIG,2025-04-17,14.9,15.65,15.65,14.65,16901709
DIG,2025-04-18,15.9,15.65,15.9,15.4,12597048
TCH,2025-04-04,15.9,16.55,16.6,15.9,18386656
TCH,2025-04-08,16.0,15.4,16.2,15.4,5660333
TCH,2025-04-09,14.35,14.35,15.1,14.35,18876884
TCH,2025-04-10,15.35,15.35,15.35,15.35,368476
TCH,2025-04-11,15.95,16.3,16.35,15.1,16957333
TCH,2025-04-14,16.35,17.0,17.25,16.05,8696766
TCH,2025-04-15,16.8,16.4,16.95,16.1,9170095
TCH,2025-04-16,16.15,16.45,16.75,16.15,6057419
TCH,2025-04-17,16.3,16.7,17.2,16.2,6681092
TCH,2025-04-18,17.0,16.7,17.3,16.7,8920605
DXG,2025-04-04,13.85,14.15,14.4,13.85,33891589
DXG,2025-04-08,13.3,13.2,14.0,13.2,8095750
DXG,2025-04-09,12.3,12.3,13.0,12.3,41340444
DXG,2025-04-10,13.15,13.15,13.15,13.15,1488854
DXG,2025-04-11,13.7,14.0,14.05,13.3,29979617
DXG,2025-04-14,14.2,14.45,14.8,13.8,19226307
DXG,2025-04-15,14.1,14.0,14.6,13.95,11660690
DXG,2025-04-16,13.95,13.95,14.3,13.7,11709456
DXG,2025-04-17,13.7,14.1,14.3,13.65,11507270
DXG,2025-04-18,14.3,14.25,14.7,14.1,12390784
CEO,2025-04-04,13.0,12.6,13.0,11.7,16098497
CEO,2025-04-08,11.6,11.4,12.6,11.4,9856790
CEO,2025-04-09,10.3,10.3,11.4,10.3,15444974
CEO,2025-04-10,11.3,11.3,11.3,11.3,262308
CEO,2025-04-11,12.3,12.4,12.4,11.6,17199646
CEO,2025-04-14,12.4,12.6,12.6,11.4,6233260
CEO,2025-04-15,12.5,12.2,12.6,12.1,6620662
CEO,2025-04-16,12.1,12.3,12.5,12.0,4911683
CEO,2025-04-17,12.2,12.7,12.8,11.8,12259783
CEO,2025-04-18,12.7,12.7,13.0,12.6,9777098
HDC,2025-04-04,24.15,24.15,24.95,24.15,9878372
HDC,2025-04-08,22.5,22.5,23.85,22.5,2021880
HDC,2025-04-09,20.95,20.95,21.3,20.95,3850362
HDC,2025-04-10,22.4,22.4,22.4,22.4,940498
HDC,2025-04-11,21.2,23.0,23.4,20.85,14138738
HDC,2025-04-14,23.5,23.45,24.2,22.9,3560883
HDC,2025-04-15,22.9,22.0,23.5,21.9,5732007
HDC,2025-04-16,22.05,22.4,22.7,21.9,3612395
HDC,2025-04-17,22.1,22.7,22.85,22.05,1890202
HDC,2025-04-18,22.9,22.35,23.3,22.1,4759618
SGR,2025-04-04,30.75,30.75,30.75,30.75,31913
SGR,2025-04-08,28.6,28.6,28.9,28.6,389301
SGR,2025-04-09,26.6,26.6,26.6,26.6,22200
SGR,2025-04-10,24.75,28.45,28.45,24.75,1881780
SGR,2025-04-11,30.4,29.65,30.4,26.5,355402
SGR,2025-04-14,29.45,27.6,29.8,27.6,415845
SGR,2025-04-15,26.1,25.7,27.3,25.7,537855
SGR,2025-04-16,25.7,26.0,26.75,25.7,159500
SGR,2025-04-17,26.3,25.9,26.3,25.4,180000
SGR,2025-04-18,26.15,25.1,26.3,25.1,170201
KHG,2025-04-04,4.84,5.2,5.3,4.84,12857488
KHG,2025-04-08,5.09,4.9,5.09,4.84,5991952
KHG,2025-04-09,4.89,4.92,5.0,4.61,14961418
KHG,2025-04-10,5.26,5.26,5.26,5.24,2797413
KHG,2025-04-11,5.26,5.49,5.49,5.11,11779785
KHG,2025-04-14,5.42,5.4,5.42,5.29,5193977
KHG,2025-04-15,5.37,5.28,5.39,5.22,4000523
KHG,2025-04-16,5.27,5.19,5.28,5.15,4153567
KHG,2025-04-17,5.1,5.2,5.25,5.09,4230293
KHG,2025-04-18,5.2,5.29,5.45,5.15,10880242
SCR,2025-04-04,5.85,5.85,6.34,5.85,8507500
SCR,2025-04-08,5.79,5.45,5.79,5.45,1855117
SCR,2025-04-09,5.07,5.07,5.28,5.07,6853623
SCR,2025-04-10,5.42,5.42,5.42,5.42,732968
SCR,2025-04-11,5.5,5.76,5.76,5.31,5318511
SCR,2025-04-14,5.8,5.79,5.88,5.64,2596291
SCR,2025-04-15,5.7,5.62,5.79,5.58,2004837
SCR,2025-04-16,5.6,5.6,5.74,5.5,1592589
SCR,2025-04-17,5.55,5.69,5.7,5.55,2089571
SCR,2025-04-18,5.71,5.71,5.81,5.69,2056771
AGG,2025-04-04,14.3,16.3,16.3,14.3,1550541
AGG,2025-04-08,15.2,15.2,15.3,15.2,224043
AGG,2025-04-09,14.15,14.95,15.0,14.15,1233058
AGG,2025-04-10,15.95,15.95,15.95,15.9,557511
AGG,2025-04-11,15.6,15.95,16.2,15.2,667695
AGG,2025-04-14,16.0,16.0,16.0,15.45,660477
AGG,2025-04-15,15.95,15.65,15.95,15.4,433521
AGG,2025-04-16,15.3,15.65,15.7,15.3,344410
AGG,2025-04-17,15.2,15.65,15.65,15.15,186266
AGG,2025-04-18,15.8,16.1,16.1,15.6,605918
HQC,2025-04-04,2.93,2.93,3.0,2.93,14104325
HQC,2025-04-08,2.91,2.73,2.95,2.73,6138903
HQC,2025-04-09,2.54,2.54,2.73,2.54,8584208
HQC,2025-04-10,2.71,2.71,2.71,2.71,444611
HQC,2025-04-11,2.89,2.89,2.89,2.81,9122742
HQC,2025-04-14,2.98,2.97,2.98,2.9,4309884
HQC,2025-04-15,2.95,2.97,3.03,2.9,4261973
HQC,2025-04-16,2.96,2.93,3.01,2.92,3854346
HQC,2025-04-17,2.91,2.94,2.95,2.89,2783523
HQC,2025-04-18,3.0,2.95,3.0,2.93,2722571
