ticker,time,open,close,high,low,volume
VNINDEX,2025-10-31,1669.61,1639.65,1669.61,1639.33,778253495
VNINDEX,2025-11-03,1644.56,1617.0,1652.48,1617.0,966160053
VNINDEX,2025-11-04,1618.02,1651.98,1658.93,1600.56,1132294703
VNINDEX,2025-11-05,1647.46,1654.89,1659.58,1640.51,615343189
VNINDEX,2025-11-06,1656.67,1642.64,1658.69,1638.12,551255133
VNINDEX,2025-11-07,1636.24,1599.1,1638.59,1595.34,838866933
BCM,2025-10-31,66.9,66.0,66.9,66.0,129624
BCM,2025-11-03,66.0,66.0,66.2,64.8,215424
BCM,2025-11-04,65.1,67.0,67.0,64.8,223541
BCM,2025-11-05,67.1,67.2,67.2,66.3,251543
BCM,2025-11-06,67.2,68.7,69.3,67.0,643806
BCM,2025-11-07,68.4,68.0,68.4,66.7,177700
KBC,2025-10-31,35.6,35.0,35.8,35.0,3536444
KBC,2025-11-03,35.0,34.2,35.7,34.2,5235425
KBC,2025-11-04,34.0,35.65,35.9,33.3,6276210
KBC,2025-11-05,35.8,35.1,35.8,34.9,2700723
KBC,2025-11-06,35.3,35.7,36.15,35.2,6070551
KBC,2025-11-07,35.7,33.85,35.8,33.8,4393900
IDC,2025-10-31,38.0,38.1,39.0,38.0,2398732
IDC,2025-11-03,38.3,38.2,39.6,38.1,3305819
IDC,2025-11-04,38.3,38.1,38.4,36.7,2211364
IDC,2025-11-05,38.3,38.6,38.8,37.0,1313823
IDC,2025-11-06,38.5,38.3,39.5,38.2,1119351
IDC,2025-11-07,38.3,38.0,38.9,37.8,1469400
VGC,2025-10-31,47.5,47.2,47.8,47.05,493943
VGC,2025-11-03,47.2,46.75,48.3,46.75,1179881
VGC,2025-11-04,46.75,47.95,47.95,45.0,1159539
VGC,2025-11-05,47.55,46.9,47.55,46.7,735588
VGC,2025-11-06,47.7,48.0,49.4,47.5,1631372
VGC,2025-11-07,48.1,46.6,48.1,46.4,1285000
SIP,2025-10-31,56.8,56.3,57.1,56.0,265228
SIP,2025-11-03,56.6,56.5,57.8,56.1,372381
SIP,2025-11-04,56.5,56.0,56.6,53.8,269713
SIP,2025-11-05,56.2,55.9,56.5,55.3,230724
SIP,2025-11-06,55.9,56.5,57.6,55.8,355589
SIP,2025-11-07,56.5,55.0,56.9,54.8,186300
NTC,2025-10-31,165.5,162.6,165.5,162.6,27543
NTC,2025-11-03,163.0,159.2,163.0,159.2,125345
NTC,2025-11-04,159.0,159.0,161.0,155.1,54065
NTC,2025-11-05,159.1,159.2,161.0,159.0,23644
NTC,2025-11-06,159.2,160.0,160.9,159.2,12648
NTC,2025-11-07,160.0,158.1,160.3,158.0,15100
SZC,2025-10-31,30.8,31.2,31.5,30.8,838431
SZC,2025-11-03,31.3,30.9,31.5,30.9,748384
SZC,2025-11-04,30.9,30.85,31.1,29.8,859857
SZC,2025-11-05,30.85,30.85,31.2,30.5,370480
SZC,2025-11-06,31.15,31.3,32.0,31.15,930937
SZC,2025-11-07,31.0,30.3,31.25,30.2,398500
LHG,2025-10-31,30.2,30.1,30.5,30.05,107616
LHG,2025-11-03,30.45,30.15,30.5,30.1,96314
LHG,2025-11-04,30.25,30.3,30.3,29.5,203265
LHG,2025-11-05,30.15,29.85,30.25,29.75,125853
LHG,2025-11-06,30.4,30.05,30.4,29.95,98600
LHG,2025-11-07,30.1,29.85,30.1,29.8,113400
TIP,2025-10-31,18.5,18.7,18.85,18.5,29906
TIP,2025-11-03,18.45,18.55,18.75,18.45,36449
TIP,2025-11-04,18.5,18.6,18.6,18.35,38800
TIP,2025-11-05,18.8,18.5,18.8,18.4,35626
TIP,2025-11-06,18.55,18.55,18.6,18.5,50382
TIP,2025-11-07,18.6,18.4,18.6,18.4,43500
D2D,2025-10-31,36.35,36.35,36.45,36.2,22918
D2D,2025-11-03,36.3,35.7,36.3,35.7,41518
D2D,2025-11-04,35.7,35.45,35.7,35.0,117296
D2D,2025-11-05,35.45,35.45,36.0,35.4,23248
D2D,2025-11-06,35.5,35.5,35.75,35.45,36561
D2D,2025-11-07,35.95,34.6,35.95,34.6,53800
DTD,2025-10-31,20.2,19.9,20.2,19.8,288474
DTD,2025-11-03,19.9,19.2,19.9,19.1,424910
DTD,2025-11-04,19.1,19.4,19.5,18.2,590081
DTD,2025-11-05,19.3,18.9,19.5,18.9,200969
DTD,2025-11-06,19.0,19.0,19.3,18.8,87178
DTD,2025-11-07,18.9,18.6,19.1,18.3,329700
IDV,2025-10-31,26.8,26.8,26.9,26.5,4555
IDV,2025-11-03,26.5,26.7,26.7,26.5,4620
IDV,2025-11-04,26.8,26.6,26.8,26.4,5800
IDV,2025-11-05,26.6,26.5,26.6,26.2,8100
IDV,2025-11-06,26.3,26.2,26.4,26.2,8201
IDV,2025-11-07,26.2,26.0,26.2,25.9,7800
