ticker,time,open,close,high,low,volume
VNINDEX,2025-08-01,1506.88,1495.21,1509.22,1479.98,1383202505
VNINDEX,2025-08-04,1493.37,1528.19,1528.21,1491.11,1229695208
VNINDEX,2025-08-05,1547.19,1547.15,1584.98,1519.08,2698901575
VNINDEX,2025-08-06,1558.56,1573.71,1574.34,1547.15,1329752984
VNINDEX,2025-08-07,1587.84,1581.81,1588.38,1567.72,1610898102
VNINDEX,2025-08-08,1589.58,1584.95,1592.52,1565.45,1820837623
VGI,2025-08-01,72.7,72.8,74.8,72.1,568102
VGI,2025-08-04,72.8,73.2,73.9,72.7,396767
VGI,2025-08-05,73.1,73.2,73.6,72.1,1182065
VGI,2025-08-06,73.1,76.8,76.9,72.8,1939126
VGI,2025-08-07,76.8,76.2,77.9,75.7,1084890
VGI,2025-08-08,76.2,81.4,84.5,76.2,3736982
FPT,2025-08-01,103.7,107.0,107.4,101.5,10935794
FPT,2025-08-04,106.5,106.6,106.6,104.8,4637013
FPT,2025-08-05,107.0,105.8,108.7,105.0,11433392
FPT,2025-08-06,106.0,104.9,106.2,104.5,11864447
FPT,2025-08-07,105.6,106.2,107.4,104.9,9589089
FPT,2025-08-08,106.5,105.6,107.4,104.8,9207301
FOX,2025-08-01,70.8,72.1,72.4,70.2,99305
FOX,2025-08-04,71.9,72.0,73.0,71.4,96176
FOX,2025-08-05,72.5,71.8,72.5,71.4,143493
FOX,2025-08-06,72.0,72.5,72.5,71.5,127469
FOX,2025-08-07,72.5,74.5,74.9,72.5,258439
FOX,2025-08-08,74.5,73.6,74.6,73.0,94675
CMG,2025-08-01,40.6,40.0,40.7,39.8,962560
CMG,2025-08-04,39.6,39.7,40.0,39.45,1417509
CMG,2025-08-05,40.0,39.5,40.5,39.0,2073855
CMG,2025-08-06,39.8,40.0,40.0,39.5,979306
CMG,2025-08-07,40.15,40.7,41.3,40.05,1552325
CMG,2025-08-08,41.0,40.9,41.5,40.4,2074221
SGT,2025-08-01,17.7,17.15,17.7,17.0,88558
SGT,2025-08-04,16.85,17.15,17.2,16.8,141670
SGT,2025-08-05,17.15,16.95,17.8,16.95,175066
SGT,2025-08-06,16.95,17.1,17.5,16.8,72242
SGT,2025-08-07,17.2,16.9,17.2,16.9,39035
SGT,2025-08-08,16.9,16.65,17.0,16.6,146022
ELC,2025-08-01,24.3,23.9,24.3,23.85,1043496
ELC,2025-08-04,23.9,23.95,24.25,23.8,930920
ELC,2025-08-05,24.0,23.05,24.0,22.3,2145476
ELC,2025-08-06,23.2,23.15,23.6,23.05,652530
ELC,2025-08-07,23.2,23.45,23.7,23.2,666884
ELC,2025-08-08,23.45,23.5,24.0,23.3,1156743
VTK,2025-08-01,55.1,55.5,56.0,55.0,10220
VTK,2025-08-04,55.3,55.4,55.4,55.3,6254
VTK,2025-08-05,55.0,55.3,55.5,55.0,10408
VTK,2025-08-06,55.3,56.2,56.3,55.2,12312
VTK,2025-08-07,56.0,55.7,56.5,55.6,13646
VTK,2025-08-08,55.9,57.5,58.0,55.7,38939
TTN,2025-08-01,17.6,17.6,17.7,17.5,148273
TTN,2025-08-04,17.6,17.7,17.7,17.5,101356
TTN,2025-08-05,17.8,17.7,17.9,17.5,269317
TTN,2025-08-06,17.7,18.2,18.2,17.6,203303
TTN,2025-08-07,18.2,17.8,18.3,17.8,146125
TTN,2025-08-08,17.9,18.0,18.3,17.8,293499
MFS,2025-08-01,45.1,45.2,46.9,45.1,49073
MFS,2025-08-04,45.2,45.8,46.3,45.2,56328
MFS,2025-08-05,45.8,46.2,46.7,45.3,168874
MFS,2025-08-06,46.0,48.5,48.6,46.0,300049
MFS,2025-08-07,48.8,48.1,48.8,47.1,97036
MFS,2025-08-08,48.0,48.2,50.0,47.7,151972
