ticker,time,open,close,high,low,volume
VNINDEX,2025-06-02,1332.6,1336.3,1336.33,1322.95,860775405
VNINDEX,2025-06-03,1336.3,1347.25,1350.89,1336.3,1035220959
VNINDEX,2025-06-04,1347.25,1345.74,1351.14,1341.53,952672647
VNINDEX,2025-06-05,1345.74,1342.09,1347.49,1336.11,756976552
VNINDEX,2025-06-06,1342.09,1329.89,1344.92,1325.45,901235898
VNINDEX,2025-06-09,1329.89,1310.57,1331.56,1309.05,718708721
VNINDEX,2025-06-10,1310.57,1316.23,1323.61,1299.94,703372014
VNINDEX,2025-06-11,1316.23,1315.2,1322.07,1306.25,546076606
VNINDEX,2025-06-12,1315.2,1322.99,1326.03,1308.63,811549322
VNINDEX,2025-06-13,1322.99,1315.49,1326.62,1304.12,1164364579
VCG,2025-06-02,20.09,20.88,21.02,20.05,10410307
VCG,2025-06-03,20.92,20.83,21.06,20.65,10717433
VCG,2025-06-04,20.92,20.74,21.48,20.65,11698847
VCG,2025-06-05,20.74,20.6,21.2,20.56,9481383
VCG,2025-06-06,20.6,20.32,20.69,20.23,10566499
VCG,2025-06-09,20.23,19.81,20.37,19.77,10110405
VCG,2025-06-10,19.77,19.86,20.14,19.77,9078254
VCG,2025-06-11,20.2,20.0,20.2,19.6,4884921
VCG,2025-06-12,20.0,20.05,20.2,20.0,3814771
VCG,2025-06-13,19.75,19.7,20.0,19.35,10195058
HHV,2025-06-02,12.15,12.4,12.45,12.1,6895473
HHV,2025-06-03,12.5,12.45,12.6,12.4,8119862
HHV,2025-06-04,12.45,12.55,12.65,12.45,10385483
HHV,2025-06-05,12.65,12.7,13.15,12.65,20305345
HHV,2025-06-06,12.65,12.35,12.7,12.35,7811768
HHV,2025-06-09,12.35,12.15,12.4,12.1,8512916
HHV,2025-06-10,12.15,12.15,12.3,12.05,5769469
HHV,2025-06-11,12.25,12.15,12.25,12.1,3696436
HHV,2025-06-12,12.25,12.3,12.4,12.2,5292454
HHV,2025-06-13,12.15,12.05,12.25,11.95,10515702
C4G,2025-06-02,7.5,7.6,7.7,7.3,1087692
C4G,2025-06-03,7.5,8.1,8.2,7.5,3039800
C4G,2025-06-04,8.2,8.3,8.6,8.2,2385128
C4G,2025-06-05,8.4,8.5,8.8,8.3,2536871
C4G,2025-06-06,8.5,8.4,8.6,8.2,1797245
C4G,2025-06-09,8.4,8.0,8.4,7.9,1254519
C4G,2025-06-10,8.0,8.1,8.2,7.9,854197
C4G,2025-06-11,8.1,8.1,8.2,8.0,510125
C4G,2025-06-12,8.1,8.3,8.5,8.1,1414353
C4G,2025-06-13,8.3,8.1,8.3,8.0,1539982
LCG,2025-06-02,9.5,9.64,9.64,9.48,1807907
LCG,2025-06-03,9.75,9.64,9.75,9.64,1604132
LCG,2025-06-04,9.69,9.7,9.77,9.65,2122611
LCG,2025-06-05,9.8,9.79,10.1,9.75,4207023
LCG,2025-06-06,9.8,9.65,9.83,9.65,1873420
LCG,2025-06-09,9.65,9.47,9.66,9.47,1729152
LCG,2025-06-10,9.51,9.43,9.56,9.43,1331969
LCG,2025-06-11,9.46,9.48,9.51,9.41,1446928
LCG,2025-06-12,9.48,9.51,9.6,9.41,2211245
LCG,2025-06-13,9.48,9.26,9.48,9.0,3891978
PLC,2025-06-02,25.0,25.5,25.5,24.4,482818
PLC,2025-06-03,25.5,25.4,25.9,25.3,364500
PLC,2025-06-04,25.5,26.0,26.2,25.5,699109
PLC,2025-06-05,26.0,27.7,27.9,26.0,1688271
PLC,2025-06-06,28.0,26.8,28.3,26.8,695161
PLC,2025-06-09,26.8,25.4,26.8,25.4,947374
PLC,2025-06-10,25.4,25.5,25.8,25.2,520979
PLC,2025-06-11,25.5,25.5,25.6,25.1,369127
PLC,2025-06-12,25.5,25.8,26.3,25.4,391474
PLC,2025-06-13,25.8,25.8,26.4,25.5,778592
FCN,2025-06-02,13.75,14.0,14.0,13.7,1055815
FCN,2025-06-03,14.15,14.1,14.2,14.0,898050
FCN,2025-06-04,14.15,14.35,14.55,14.15,2197202
FCN,2025-06-05,14.4,14.3,14.85,14.25,2676359
FCN,2025-06-06,14.3,13.9,14.3,13.9,1229122
FCN,2025-06-09,13.95,13.9,14.0,13.8,1048615
FCN,2025-06-10,13.9,13.65,14.0,13.65,1081948
FCN,2025-06-11,13.7,13.45,13.75,13.35,1117997
FCN,2025-06-12,13.65,13.45,13.7,13.4,869454
FCN,2025-06-13,13.4,13.55,13.65,13.25,922784
KSB,2025-06-02,16.7,17.05,17.2,16.65,2619497
KSB,2025-06-03,17.25,17.0,17.3,16.95,1561766
KSB,2025-06-04,17.05,17.15,17.45,17.05,2105185
KSB,2025-06-05,17.15,17.15,17.55,17.1,2128659
KSB,2025-06-06,17.2,16.75,17.2,16.7,2169037
KSB,2025-06-09,16.75,16.35,16.75,16.35,1528149
KSB,2025-06-10,16.45,16.45,16.65,16.3,1312715
KSB,2025-06-11,16.5,17.05,17.2,16.4,2003235
KSB,2025-06-12,17.25,17.1,17.45,17.05,2100421
KSB,2025-06-13,17.0,17.3,17.85,16.7,4720817
G36,2025-06-02,7.6,8.0,8.1,7.5,1052806
G36,2025-06-03,8.1,8.9,8.9,8.0,5259300
G36,2025-06-04,9.5,9.6,10.0,9.0,2930439
