ticker,time,open,close,high,low,volume
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1402.06,1415.46,1415.65,1400.79,1177502304
VNINDEX,2025-07-09,1415.46,1431.32,1432.29,1415.46,1433794349
VNINDEX,2025-07-10,1431.32,1445.64,1446.16,1431.32,1074311106
VNINDEX,2025-07-11,1445.64,1457.76,1463.91,1445.64,1235944706
VNINDEX,2025-07-14,1471.4,1470.42,1473.93,1447.72,1259872146
VNINDEX,2025-07-15,1473.8,1460.65,1476.32,1460.16,1336267013
VNINDEX,2025-07-16,1459.87,1475.47,1475.47,1457.04,1221312100
VNINDEX,2025-07-17,1481.85,1490.01,1494.46,1475.47,1408347353
VNINDEX,2025-07-18,1490.01,1497.28,1501.2,1484.29,1461671359
HAG,2025-07-07,13.6,13.55,13.8,13.35,8674403
HAG,2025-07-08,13.6,13.6,13.75,13.4,10571740
HAG,2025-07-09,13.7,13.6,14.05,13.6,14886204
HAG,2025-07-10,13.65,13.55,13.75,13.45,8042845
HAG,2025-07-11,13.5,13.4,13.6,13.15,11732817
HAG,2025-07-14,13.45,14.1,14.3,13.1,18741095
HAG,2025-07-15,14.1,13.65,14.25,13.65,11313644
HAG,2025-07-16,13.7,13.6,13.8,13.45,10728696
HAG,2025-07-17,13.7,13.9,14.1,13.55,15978795
HAG,2025-07-18,14.1,14.85,14.85,13.95,37138954
DBC,2025-07-07,34.8,34.75,34.9,34.2,8005566
DBC,2025-07-08,35.0,34.75,35.45,34.5,7346084
DBC,2025-07-09,35.0,34.0,35.1,33.7,18146015
DBC,2025-07-10,33.8,33.55,34.3,33.25,12859992
DBC,2025-07-11,33.7,33.7,34.15,33.2,7536497
DBC,2025-07-14,33.6,34.1,34.25,33.3,7490823
DBC,2025-07-15,34.35,33.6,34.45,33.6,8586504
DBC,2025-07-16,33.75,33.6,33.9,33.5,7086709
DBC,2025-07-17,33.65,34.0,34.85,33.35,18275120
DBC,2025-07-18,34.1,33.7,34.25,33.6,7218827
PAN,2025-07-07,28.6,28.3,28.6,27.95,2165726
PAN,2025-07-08,28.5,28.65,29.15,28.45,1782449
PAN,2025-07-09,28.7,28.75,29.1,28.4,1788846
PAN,2025-07-10,28.6,28.9,29.6,28.6,2045019
PAN,2025-07-11,28.95,28.85,29.05,28.3,1847037
PAN,2025-07-14,28.6,29.9,30.3,28.45,2878535
PAN,2025-07-15,29.9,29.75,30.55,29.5,1809613
PAN,2025-07-16,29.5,30.0,30.4,29.5,1265176
PAN,2025-07-17,30.1,30.1,30.5,29.9,3122605
PAN,2025-07-18,30.4,30.4,31.1,30.1,1948484
VLC,2025-07-07,15.2,15.2,15.5,15.1,259398
VLC,2025-07-08,15.4,15.3,15.4,15.2,174286
VLC,2025-07-09,15.3,15.5,15.5,15.3,323984
VLC,2025-07-10,15.5,15.8,16.1,15.3,558481
VLC,2025-07-11,15.8,15.8,15.9,15.6,128156
VLC,2025-07-14,15.7,15.6,15.9,15.4,151850
VLC,2025-07-15,15.6,15.8,16.2,15.5,377714
VLC,2025-07-16,15.8,15.8,16.2,15.7,165547
VLC,2025-07-17,15.9,15.8,16.0,15.7,381956
VLC,2025-07-18,15.8,15.7,16.0,15.6,148140
BAF,2025-07-07,33.75,34.05,34.35,33.75,2935801
BAF,2025-07-08,34.0,33.75,34.2,33.65,2819700
BAF,2025-07-09,33.65,33.65,33.75,33.55,2186977
BAF,2025-07-10,33.5,33.75,33.75,33.5,2129985
BAF,2025-07-11,33.6,34.05,34.3,33.3,4889592
BAF,2025-07-14,34.0,34.0,34.15,33.7,2187529
BAF,2025-07-15,33.9,33.7,34.0,33.55,2372513
BAF,2025-07-16,33.6,33.6,33.6,33.35,2416578
BAF,2025-07-17,33.55,34.0,34.0,33.5,3597398
BAF,2025-07-18,34.0,34.2,34.25,33.8,3916396
LTG,2025-07-07,7.3,7.3,7.3,7.3,0
LTG,2025-07-08,7.3,7.3,7.3,7.3,0
LTG,2025-07-09,7.3,7.3,7.3,7.3,0
LTG,2025-07-10,7.3,7.3,7.3,7.3,0
LTG,2025-07-11,7.6,8.3,8.3,7.3,851562
LTG,2025-07-14,8.2,8.2,8.2,8.2,0
LTG,2025-07-15,8.2,8.2,8.2,8.2,0
LTG,2025-07-16,8.2,8.2,8.2,8.2,0
LTG,2025-07-17,8.2,8.2,8.2,8.2,0
LTG,2025-07-18,8.2,8.5,9.2,8.2,756294
NAF,2025-07-07,25.0,24.25,25.25,24.1,690218
NAF,2025-07-08,24.2,24.7,24.7,24.0,324998
NAF,2025-07-09,24.4,24.2,24.6,23.7,711843
NAF,2025-07-10,24.1,24.2,24.2,24.0,237396
NAF,2025-07-11,24.2,23.8,24.4,23.8,411426
NAF,2025-07-14,23.4,22.15,23.4,22.15,389594
NAF,2025-07-15,21.05,21.9,21.95,21.05,663647
NAF,2025-07-16,21.9,21.9,21.9,21.3,262788
NAF,2025-07-17,21.9,21.7,21.9,21.45,572519
NAF,2025-07-18,21.7,21.7,21.7,21.35,375391
TSC,2025-07-07,2.85,2.84,2.86,2.82,910994
TSC,2025-07-08,2.86,2.99,3.0,2.84,2371791
TSC,2025-07-09,3.03,2.96,3.06,2.95,854921
TSC,2025-07-10,2.97,2.96,3.07,2.95,1249426
TSC,2025-07-11,2.99,2.99,3.06,2.97,877445
TSC,2025-07-14,3.0,2.98,3.04,2.93,1277330
TSC,2025-07-15,2.99,3.18,3.18,2.99,993852
TSC,2025-07-16,3.26,3.23,3.33,3.2,3229687
TSC,2025-07-17,3.26,3.18,3.3,3.17,1814626
TSC,2025-07-18,3.22,3.18,3.25,3.11,1491383
