ticker,time,open,close,high,low,volume
VNINDEX,2025-09-26,1666.68,1660.7,1671.43,1652.65,901014435
VNINDEX,2025-09-29,1659.24,1666.48,1674.84,1639.2,809840218
VNINDEX,2025-09-30,1667.86,1661.7,1676.8,1645.97,1050227166
VNINDEX,2025-10-01,1664.95,1665.05,1671.07,1655.85,666793512
VNINDEX,2025-10-02,1668.04,1652.71,1679.73,1646.77,736855841
VNINDEX,2025-10-03,1651.39,1645.82,1656.58,1637.95,815234740
VEA,2025-09-26,39.6,39.4,39.6,39.3,267176
VEA,2025-09-29,39.5,39.4,39.6,39.3,352523
VEA,2025-09-30,39.4,39.3,39.5,39.1,536425
VEA,2025-10-01,39.2,39.5,39.5,39.2,218764
VEA,2025-10-02,39.4,39.3,39.6,39.2,298873
VEA,2025-10-03,39.4,39.4,39.5,39.2,289224
GEX,2025-09-26,53.8,53.0,53.8,52.4,3230229
GEX,2025-09-29,53.1,55.4,55.5,53.0,10061611
GEX,2025-09-30,55.8,55.5,55.8,54.0,6890078
GEX,2025-10-01,56.2,56.0,58.0,55.7,13232388
GEX,2025-10-02,56.6,54.2,56.6,53.3,7950741
GEX,2025-10-03,54.1,52.5,54.1,52.0,8386522
VCS,2025-09-26,49.8,49.5,50.2,49.0,137245
VCS,2025-09-29,49.5,48.6,49.6,48.5,211680
VCS,2025-09-30,48.7,48.2,49.0,47.9,130012
VCS,2025-10-01,48.5,48.7,48.7,48.1,30950
VCS,2025-10-02,48.7,48.1,48.9,48.1,94184
VCS,2025-10-03,48.4,48.1,48.4,48.0,61302
BWE,2025-09-26,49.5,48.8,49.75,48.7,107557
BWE,2025-09-29,49.0,48.5,49.1,48.0,84434
BWE,2025-09-30,48.8,48.5,49.0,48.25,66432
BWE,2025-10-01,48.7,48.4,48.7,48.4,103092
BWE,2025-10-02,48.4,48.35,49.0,48.2,185573
BWE,2025-10-03,48.5,48.85,49.3,48.0,140294
ACG,2025-09-26,36.2,35.95,36.9,35.95,10054
ACG,2025-09-29,35.6,35.7,35.8,35.6,715
ACG,2025-09-30,36.0,35.8,36.0,35.7,1719
ACG,2025-10-01,35.6,35.55,35.9,35.55,3830
ACG,2025-10-02,35.6,35.6,35.6,35.6,21231
ACG,2025-10-03,36.0,36.0,36.0,35.5,4917
TDM,2025-09-26,59.0,59.0,59.0,59.0,0
TDM,2025-09-29,59.0,59.0,59.0,59.0,502
TDM,2025-09-30,59.0,59.0,59.0,59.0,403
TDM,2025-10-01,59.0,59.0,59.0,59.0,4702
TDM,2025-10-02,58.6,58.2,58.6,58.1,651
TDM,2025-10-03,57.1,59.0,59.0,57.1,9002
HHS,2025-09-26,17.45,18.05,18.4,17.4,14174324
HHS,2025-09-29,18.25,18.0,18.4,17.65,5876249
HHS,2025-09-30,17.95,17.85,18.0,17.1,4635081
HHS,2025-10-01,18.05,18.7,19.05,17.85,16298368
HHS,2025-10-02,18.85,18.45,18.85,18.0,4935282
HHS,2025-10-03,18.1,17.85,18.35,17.65,6519475
DHC,2025-09-26,35.05,34.7,35.4,34.7,150318
DHC,2025-09-29,34.85,34.2,35.0,34.2,251472
DHC,2025-09-30,34.05,34.9,35.15,33.5,422057
DHC,2025-10-01,34.9,35.0,35.5,34.55,60164
DHC,2025-10-02,35.15,34.6,35.3,34.55,190985
DHC,2025-10-03,34.5,34.7,35.25,34.5,152376
TIG,2025-09-26,9.4,9.2,9.4,9.1,884838
TIG,2025-09-29,9.2,9.2,9.3,9.0,884253
TIG,2025-09-30,9.2,8.8,9.2,8.8,1057892
TIG,2025-10-01,8.8,8.8,9.0,8.8,470290
TIG,2025-10-02,8.8,8.6,8.9,8.6,368156
TIG,2025-10-03,8.6,8.1,8.7,8.1,798478
TTF,2025-09-26,3.15,3.09,3.17,3.09,2006189
TTF,2025-09-29,2.99,3.04,3.08,2.99,1459041
TTF,2025-09-30,3.04,3.09,3.1,3.01,694710
TTF,2025-10-01,3.1,3.0,3.12,3.0,1331938
TTF,2025-10-02,3.07,3.04,3.07,3.0,687516
TTF,2025-10-03,3.05,3.04,3.05,3.0,855175
YEG,2025-09-26,14.7,15.0,15.2,14.5,5160850
YEG,2025-09-29,15.0,14.75,15.25,14.7,3553152
YEG,2025-09-30,14.75,14.25,14.8,14.05,3382260
YEG,2025-10-01,14.4,14.35,14.5,14.2,1647367
YEG,2025-10-02,14.5,14.0,14.6,14.0,1720206
YEG,2025-10-03,14.0,13.7,14.0,13.7,2500312
DSN,2025-09-26,45.0,44.95,45.0,44.95,2579
DSN,2025-09-29,45.0,44.8,45.0,44.8,4303
DSN,2025-09-30,44.8,44.8,44.95,44.5,13020
DSN,2025-10-01,44.6,44.7,44.8,44.6,3711
DSN,2025-10-02,44.6,44.8,45.0,44.5,26560
DSN,2025-10-03,44.8,44.6,44.8,44.45,1510
GDT,2025-09-26,20.95,21.0,21.5,20.8,16200
GDT,2025-09-29,21.0,20.8,21.0,20.8,13101
GDT,2025-09-30,20.8,20.8,21.0,20.6,24755
GDT,2025-10-01,20.65,20.7,20.8,20.6,5528
GDT,2025-10-02,20.7,20.9,20.9,20.6,10132
GDT,2025-10-03,20.7,20.9,20.9,20.7,6475
