ticker,time,open,close,high,low,volume
VNINDEX,2025-06-02,1332.6,1336.3,1336.33,1322.95,860775405
VNINDEX,2025-06-03,1336.3,1347.25,1350.89,1336.3,1035220959
VNINDEX,2025-06-04,1347.25,1345.74,1351.14,1341.53,952672647
VNINDEX,2025-06-05,1345.74,1342.09,1347.49,1336.11,756976552
VNINDEX,2025-06-06,1342.09,1329.89,1344.92,1325.45,901235898
VNINDEX,2025-06-09,1329.89,1310.57,1331.56,1309.05,718708721
VNINDEX,2025-06-10,1310.57,1316.23,1323.61,1299.94,703372014
VNINDEX,2025-06-11,1316.23,1315.2,1322.07,1306.25,546076606
VNINDEX,2025-06-12,1315.2,1322.99,1326.03,1308.63,811549322
VNINDEX,2025-06-13,1322.99,1315.49,1326.62,1304.12,1164364579
VCB,2025-06-02,56.5,56.2,56.5,56.1,3232645
VCB,2025-06-03,56.7,56.8,56.9,56.4,3370416
VCB,2025-06-04,56.9,56.6,57.0,56.5,2695759
VCB,2025-06-05,56.7,56.3,56.8,56.3,2788584
VCB,2025-06-06,56.3,56.1,56.6,56.1,2536554
VCB,2025-06-09,56.2,55.9,56.4,55.9,2229030
VCB,2025-06-10,56.0,55.9,56.2,55.9,2235688
VCB,2025-06-11,56.2,55.7,56.2,55.7,2300663
VCB,2025-06-12,56.0,56.0,56.1,55.7,2566853
VCB,2025-06-13,55.9,56.2,57.1,55.6,5375563
FPT,2025-06-02,115.51,115.11,116.1,114.62,2932470
FPT,2025-06-03,115.71,116.4,117.0,115.31,3410333
FPT,2025-06-04,117.0,116.1,117.2,115.51,2883362
FPT,2025-06-05,116.1,115.81,116.3,115.51,2311499
FPT,2025-06-06,115.81,114.02,115.81,114.02,5400395
FPT,2025-06-09,114.52,115.21,115.91,114.02,3064841
FPT,2025-06-10,116.01,114.72,116.4,114.72,3372461
FPT,2025-06-11,115.11,116.9,117.2,115.11,5756496
FPT,2025-06-12,117.6,117.0,117.7,116.5,4162497
FPT,2025-06-13,116.0,115.4,116.5,114.9,6182491
VNM,2025-06-02,54.9,54.6,55.2,54.5,2650910
VNM,2025-06-03,54.7,55.5,56.0,54.7,4318030
VNM,2025-06-04,55.8,56.9,57.8,55.5,8429633
VNM,2025-06-05,57.0,56.3,57.1,56.3,2800586
VNM,2025-06-06,56.4,55.3,56.4,55.1,4131010
VNM,2025-06-09,55.4,55.3,56.3,55.3,3041347
VNM,2025-06-10,55.5,55.3,56.1,55.1,3006169
VNM,2025-06-11,55.3,55.2,55.6,55.1,1724703
VNM,2025-06-12,55.6,55.9,56.2,55.5,3287375
VNM,2025-06-13,55.5,55.5,55.7,55.2,3550452
MBB,2025-06-02,24.45,24.6,24.7,24.15,19204786
MBB,2025-06-03,24.65,24.7,24.8,24.65,19261989
MBB,2025-06-04,24.75,24.55,24.8,24.5,13498866
MBB,2025-06-05,24.55,24.4,24.65,24.4,10007948
MBB,2025-06-06,24.35,24.15,24.4,24.15,17986318
MBB,2025-06-09,24.15,24.25,24.3,24.1,13058985
MBB,2025-06-10,24.3,24.2,24.55,24.1,12955278
MBB,2025-06-11,24.2,24.25,24.3,24.15,6177973
MBB,2025-06-12,24.3,24.7,24.7,24.3,22559839
MBB,2025-06-13,24.45,24.85,25.0,24.4,42321432
MSN,2025-06-02,62.0,62.1,62.5,61.7,2289241
MSN,2025-06-03,62.3,63.3,63.6,62.3,4283685
MSN,2025-06-04,63.5,64.1,64.4,63.0,6894457
MSN,2025-06-05,64.4,65.8,65.8,63.9,11751930
MSN,2025-06-06,65.9,65.0,66.4,64.7,4126618
MSN,2025-06-09,65.0,64.1,65.0,63.5,5034619
MSN,2025-06-10,64.5,64.8,65.5,64.1,5625030
MSN,2025-06-11,64.8,64.8,65.2,64.1,2852970
MSN,2025-06-12,65.3,65.8,66.0,65.2,6870271
MSN,2025-06-13,65.0,65.4,65.4,64.3,5913745
MWG,2025-06-02,62.0,61.0,62.0,60.0,14340007
MWG,2025-06-03,61.0,62.4,62.8,61.0,6569658
MWG,2025-06-04,62.8,61.3,62.8,61.1,6684468
MWG,2025-06-05,61.0,61.7,62.2,61.0,5370039
MWG,2025-06-06,61.2,60.5,61.3,60.4,6297070
MWG,2025-06-09,60.5,60.5,60.7,59.9,7253988
MWG,2025-06-10,61.0,61.5,62.9,60.6,10562804
MWG,2025-06-11,61.5,61.9,62.2,61.5,4244023
MWG,2025-06-12,62.5,63.5,63.5,62.1,10600498
MWG,2025-06-13,62.7,63.2,63.4,61.8,8837505
TCB,2025-06-02,30.4,30.85,30.95,30.2,13962518
TCB,2025-06-03,30.9,31.6,31.9,30.9,23869926
TCB,2025-06-04,31.7,31.35,31.7,31.2,15688990
TCB,2025-06-05,31.35,31.1,31.6,31.05,15794425
TCB,2025-06-06,31.0,30.3,31.0,30.3,28368360
TCB,2025-06-09,30.3,29.75,30.45,29.75,20761408
TCB,2025-06-10,29.95,30.05,30.5,29.85,15110402
TCB,2025-06-11,30.35,30.1,30.35,29.95,6095570
TCB,2025-06-12,30.35,30.95,31.15,30.25,24558135
TCB,2025-06-13,30.7,31.2,31.5,30.5,27424234
SSI,2025-06-02,23.35,23.7,23.7,23.35,12063276
SSI,2025-06-03,24.1,24.5,24.85,24.1,58609193
SSI,2025-06-04,24.7,24.2,24.7,24.15,19443420
