ticker,time,open,close,high,low,volume
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1402.06,1415.46,1415.65,1400.79,1177502304
VNINDEX,2025-07-09,1415.46,1431.32,1432.29,1415.46,1433794349
VNINDEX,2025-07-10,1431.32,1445.64,1446.16,1431.32,1074311106
VNINDEX,2025-07-11,1445.64,1457.76,1463.91,1445.64,1235944706
DHG,2025-07-04,100.8,100.7,101.3,100.1,9911
DHG,2025-07-07,100.7,100.9,101.0,100.5,14401
DHG,2025-07-08,100.9,101.6,101.6,100.9,16152
DHG,2025-07-09,101.2,101.4,101.6,101.0,20780
DHG,2025-07-10,101.2,101.4,101.5,101.0,15040
DHG,2025-07-11,101.0,100.5,101.3,100.5,16576
IMP,2025-07-04,51.9,52.0,52.0,51.3,95176
IMP,2025-07-07,52.3,52.0,52.8,51.8,94114
IMP,2025-07-08,52.0,52.2,52.7,51.8,116792
IMP,2025-07-09,51.9,52.6,53.8,51.9,253452
IMP,2025-07-10,53.0,52.7,53.8,52.3,72554
IMP,2025-07-11,52.8,51.9,52.8,51.8,145512
DVN,2025-07-04,23.5,23.7,23.7,23.4,21826
DVN,2025-07-07,23.7,23.6,23.7,23.3,48701
DVN,2025-07-08,23.4,23.5,23.6,23.3,76250
DVN,2025-07-09,23.5,23.6,23.6,23.4,50994
DVN,2025-07-10,23.6,23.5,23.7,23.3,75454
DVN,2025-07-11,23.5,23.2,23.5,23.1,84800
DHT,2025-07-04,81.4,82.5,82.5,81.2,21800
DHT,2025-07-07,82.0,82.0,82.8,81.6,3440
DHT,2025-07-08,82.3,81.5,82.3,81.5,6020
DHT,2025-07-09,81.5,81.5,81.5,81.0,6809
DHT,2025-07-10,81.5,81.5,81.8,81.2,4522
DHT,2025-07-11,82.0,82.2,83.5,81.7,65954
TNH,2025-07-04,16.9,16.75,16.9,16.65,125032
TNH,2025-07-07,16.6,16.85,16.9,16.6,166867
TNH,2025-07-08,16.85,16.75,16.85,16.65,191051
TNH,2025-07-09,16.75,17.1,17.2,16.7,572101
TNH,2025-07-10,17.1,17.1,17.15,16.85,378742
TNH,2025-07-11,17.1,17.0,17.1,16.75,375634
DCL,2025-07-04,23.15,23.0,23.2,22.9,274661
DCL,2025-07-07,23.1,22.95,23.15,22.9,221511
DCL,2025-07-08,22.95,23.0,23.1,22.85,427793
DCL,2025-07-09,23.15,23.0,23.15,22.95,349529
DCL,2025-07-10,23.05,22.9,23.1,22.85,409844
DCL,2025-07-11,22.8,22.85,23.0,22.8,423253
JVC,2025-07-04,5.3,5.3,5.3,5.25,104415
JVC,2025-07-07,5.3,5.3,5.42,5.23,481552
JVC,2025-07-08,5.3,5.28,5.34,5.23,394232
JVC,2025-07-09,5.28,5.32,5.33,5.25,798256
JVC,2025-07-10,5.32,5.68,5.69,5.31,2437856
JVC,2025-07-11,5.89,5.62,5.89,5.59,889887
