ticker,time,open,close,high,low,volume
VNINDEX,2025-08-04,1493.37,1528.19,1528.21,1491.11,1229695208
VNINDEX,2025-08-05,1547.19,1547.15,1584.98,1519.08,2698901575
VNINDEX,2025-08-06,1558.56,1573.71,1574.34,1547.15,1329752984
VNINDEX,2025-08-07,1587.84,1581.81,1588.38,1567.72,1610898102
VNINDEX,2025-08-08,1589.58,1584.95,1592.52,1565.45,1820837623
VNINDEX,2025-08-11,1590.98,1596.86,1601.79,1584.95,1590494840
VNINDEX,2025-08-12,1603.5,1608.22,1608.34,1591.18,1584416741
VNINDEX,2025-08-13,1615.57,1611.6,1618.31,1585.54,1867294220
VNINDEX,2025-08-14,1623.18,1640.69,1641.28,1611.6,1758036899
VNINDEX,2025-08-15,1658.24,1630.0,1666.54,1615.26,2013211159
SPX,2025-08-04,6271.71,6329.94,6330.69,6271.71,3001426566
SPX,2025-08-05,6336.63,6299.19,6346.0,6289.37,3161668228
SPX,2025-08-06,6309.3,6345.06,6352.83,6301.11,3273682928
SPX,2025-08-07,6374.32,6340.0,6389.71,6310.32,3147667079
SPX,2025-08-08,6355.22,6389.45,6395.16,6355.22,2816498530
SPX,2025-08-11,6389.67,6373.45,6407.25,6364.06,2882117019
SPX,2025-08-12,6395.17,6445.76,6446.55,6385.76,2870584140
SPX,2025-08-13,6462.67,6466.58,6480.28,6445.02,3088354173
SPX,2025-08-14,6453.46,6468.54,6473.92,6441.07,2766449273
SPX,2025-08-15,6477.38,6449.8,6481.34,6441.85,3147834712
DJI,2025-08-04,43724.02,44173.64,44188.36,43724.02,519870016
DJI,2025-08-05,44200.07,44111.74,44308.5,43923.81,466507519
DJI,2025-08-06,44196.61,44193.12,44290.09,44017.71,518973796
DJI,2025-08-07,44430.09,43968.64,44498.43,43799.2,492481199
DJI,2025-08-08,44044.95,44175.61,44272.75,44028.94,452505751
DJI,2025-08-11,44184.36,43975.09,44273.03,43911.31,431515675
DJI,2025-08-12,44050.53,44458.61,44497.59,44050.53,442859827
DJI,2025-08-13,44571.53,44922.27,44949.12,44571.53,521432025
DJI,2025-08-14,44890.84,44911.26,44948.7,44690.5,453533194
DJI,2025-08-15,45159.91,44946.12,45203.52,44897.98,547278201
NDX,2025-08-04,22986.77,23188.61,23191.04,22973.6,353564220
NDX,2025-08-05,23235.32,23018.56,23286.05,23008.14,337031758
NDX,2025-08-06,23070.95,23315.04,23330.49,23042.27,357844818
