ticker,time,open,close,high,low,volume
VNINDEX,2025-08-29,1690.11,1682.21,1694.42,1677.82,1464313109
VNINDEX,2025-09-03,1682.11,1681.3,1692.69,1670.39,1245588613
VNINDEX,2025-09-04,1687.59,1696.29,1696.29,1675.95,1295004347
VNINDEX,2025-09-05,1705.13,1666.97,1711.49,1665.45,1653994892
GMD,2025-08-29,68.9,69.1,69.7,68.4,4681714
GMD,2025-09-03,69.0,67.4,69.0,66.9,3027454
GMD,2025-09-04,67.3,68.5,68.9,67.1,2477643
GMD,2025-09-05,68.9,66.5,69.0,65.6,2750510
PVT,2025-08-29,18.0,17.95,18.1,17.9,2875207
PVT,2025-09-03,18.1,18.15,18.4,18.0,2771352
PVT,2025-09-04,18.3,18.35,18.6,18.2,3868540
PVT,2025-09-05,18.55,18.35,18.9,18.35,5011005
VTP,2025-08-29,101.0,99.0,101.6,99.0,558498
VTP,2025-09-03,100.1,101.6,101.9,99.2,398315
VTP,2025-09-04,102.1,105.2,108.0,102.1,667964
VTP,2025-09-05,105.5,102.8,105.8,102.8,417946
PHP,2025-08-29,36.5,36.2,36.5,36.0,113660
PHP,2025-09-03,36.4,36.3,36.4,35.6,128255
PHP,2025-09-04,36.3,36.2,36.3,36.0,85360
PHP,2025-09-05,36.1,36.0,36.5,35.9,114994
HAH,2025-08-29,57.3,56.2,58.0,56.0,2996982
HAH,2025-09-03,56.5,57.5,57.5,56.4,1238232
HAH,2025-09-04,57.9,58.2,59.0,57.7,1851307
HAH,2025-09-05,58.6,58.7,60.5,58.3,3730763
DVP,2025-08-29,73.9,73.9,74.0,73.7,42600
DVP,2025-09-03,74.3,74.0,74.3,73.8,11778
DVP,2025-09-04,74.0,74.0,74.1,73.8,22976
DVP,2025-09-05,73.9,74.0,74.4,73.9,17510
VSC,2025-08-29,31.25,30.0,31.8,30.0,11188322
VSC,2025-09-03,29.95,32.1,32.1,29.7,6605535
VSC,2025-09-04,34.3,32.8,34.3,32.35,13222391
VSC,2025-09-05,32.95,31.0,33.05,31.0,14824943
VOS,2025-08-29,15.35,15.1,15.4,15.05,1432184
VOS,2025-09-03,15.25,15.6,15.65,15.15,2267613
VOS,2025-09-04,15.65,15.55,15.85,15.4,1736379
VOS,2025-09-05,15.45,15.45,15.85,15.45,2762358
PVP,2025-08-29,15.0,15.1,15.1,14.9,194756
PVP,2025-09-03,15.1,15.15,15.15,15.0,109480
PVP,2025-09-04,15.2,15.15,15.2,15.05,196019
PVP,2025-09-05,15.15,15.25,15.35,15.05,133139
TCD,2025-08-29,2.86,2.86,2.86,2.86,1645600
TCD,2025-09-03,3.02,2.86,3.02,2.83,2319800
TCD,2025-09-04,2.87,2.78,2.87,2.78,1013800
TCD,2025-09-05,2.79,2.74,2.79,2.74,925900
TCL,2025-08-29,35.0,34.9,35.1,34.9,23478
TCL,2025-09-03,35.0,34.9,35.1,34.9,33957
TCL,2025-09-04,34.9,34.95,35.15,34.8,51579
TCL,2025-09-05,34.95,34.95,35.1,34.95,37978
VTO,2025-08-29,11.9,12.15,12.2,11.9,668092
VTO,2025-09-03,12.15,12.25,12.45,12.15,552394
VTO,2025-09-04,12.15,12.1,12.3,12.05,580609
VTO,2025-09-05,12.05,12.05,12.25,12.05,335553
VIP,2025-08-29,13.2,13.85,13.85,13.15,777416
VIP,2025-09-03,13.85,13.85,13.95,13.7,341442
VIP,2025-09-04,13.85,13.7,13.9,13.7,477430
VIP,2025-09-05,13.8,13.65,13.8,13.6,271005
SKG,2025-08-29,11.3,11.25,11.3,11.1,112257
SKG,2025-09-03,11.25,11.2,11.25,11.1,162213
SKG,2025-09-04,11.2,11.25,11.35,11.2,198454
SKG,2025-09-05,11.25,11.15,11.4,11.1,270591
DXP,2025-08-29,11.0,11.0,11.1,10.9,143310
DXP,2025-09-03,11.0,11.0,11.1,10.9,118702
DXP,2025-09-04,11.1,11.2,11.3,11.1,160046
DXP,2025-09-05,11.2,11.2,11.4,11.2,218754
VNA,2025-08-29,18.8,18.7,19.0,18.7,4808
VNA,2025-09-03,18.4,18.8,18.9,18.4,1055
VNA,2025-09-04,18.9,18.9,18.9,18.8,5802
VNA,2025-09-05,18.9,18.7,18.9,18.7,900
MHC,2025-08-29,14.0,13.7,14.4,13.6,599776
MHC,2025-09-03,13.75,14.0,14.15,13.65,357981
MHC,2025-09-04,14.4,14.0,14.4,13.8,298386
MHC,2025-09-05,14.2,13.95,14.95,13.5,1485045
