ticker,time,open,close,high,low,volume
VNINDEX,2025-07-07,1393.34,1457.76,1463.91,1386.97,6153326750
VNINDEX,2025-07-14,1471.4,1497.28,1501.2,1447.72,6687469971
VNINDEX,2025-07-21,1508.6,1531.13,1534.51,1476.61,6860976648
VNINDEX,2025-07-28,1541.82,1495.21,1566.74,1479.98,9109177591
VNINDEX,2025-08-04,1493.37,1584.95,1592.52,1491.11,8690085492
VNINDEX,2025-08-11,1590.98,1630.0,1666.54,1584.95,8813453859
VNINDEX,2025-08-18,1638.37,1645.47,1693.68,1614.6,9468446879
VNINDEX,2025-08-25,1659.7,1682.21,1696.6,1601.65,6728252666
VNINDEX,2025-09-03,1682.11,1666.97,1711.49,1665.45,4194587852
VNINDEX,2025-09-08,1660.91,1667.26,1675.38,1605.76,5833252601
VNINDEX,2025-09-15,1672.59,1658.62,1697.26,1638.44,5055256805
VNINDEX,2025-09-22,1656.66,1660.7,1671.43,1616.02,4560154923
VNINDEX,2025-09-29,1659.24,1645.82,1679.73,1637.95,4078951477
VNINDEX,2025-10-06,1673.16,1747.55,1747.57,1643.23,4867270315
VNINDEX,2025-10-13,1738.23,1731.19,1794.58,1727.8,6144510142
VNINDEX,2025-10-20,1723.59,1683.18,1727.11,1622.37,5717360317
VNINDEX,2025-10-27,1696.45,1639.65,1697.16,1621.52,4149260606
VNINDEX,2025-11-03,1644.56,1599.1,1659.58,1595.34,4084496005
VNINDEX,2025-11-10,1598.02,1635.46,1638.98,1578.42,3218569038
VNINDEX,2025-11-17,1640.47,1654.93,1661.51,1635.1,3370927586
VNINDEX,2025-11-24,1656.03,1690.99,1696.14,1656.01,3222054739
VNINDEX,2025-12-01,1698.98,1741.32,1758.44,1690.36,3297707087
MWG,2025-07-07,65.65,66.94,67.43,64.87,35480653
MWG,2025-07-14,66.94,69.7,70.98,65.46,39746962
MWG,2025-07-21,69.99,70.1,71.1,68.02,36157970
MWG,2025-07-28,70.6,65.2,71.0,65.2,63906213
MWG,2025-08-04,65.2,72.0,72.8,65.2,61167383
MWG,2025-08-11,72.0,70.5,73.7,69.8,49310851
MWG,2025-08-18,70.6,70.3,71.6,68.0,57238613
MWG,2025-08-25,70.3,78.0,78.2,68.6,57095144
MWG,2025-09-03,76.9,75.0,78.3,73.9,29896508
MWG,2025-09-08,74.5,79.0,79.4,73.7,54480949
MWG,2025-09-15,79.0,78.6,81.4,76.7,38654949
MWG,2025-09-22,77.9,77.9,79.2,76.0,26392657
MWG,2025-09-29,77.9,77.0,78.5,75.4,33249076
MWG,2025-10-06,78.4,82.0,82.0,77.2,49405094
MWG,2025-10-13,81.2,84.5,85.9,81.0,42302178
MWG,2025-10-20,87.0,85.7,87.9,79.8,53351924
MWG,2025-10-27,85.7,82.6,85.7,80.4,35376597
MWG,2025-11-03,83.0,76.5,83.3,75.5,37692143
MWG,2025-11-10,76.3,81.4,82.0,76.3,26016294
MWG,2025-11-17,81.2,80.0,83.2,78.1,28434164
MWG,2025-11-24,80.3,79.9,80.4,78.5,19656346
MWG,2025-12-01,79.7,85.1,86.2,79.3,36030512
PNJ,2025-07-07,81.66,81.85,82.15,80.67,2759506
PNJ,2025-07-14,82.44,84.8,87.07,82.25,4735714
PNJ,2025-07-21,84.8,85.0,85.3,82.74,2380682
