ticker,time,open,close,high,low,volume
VNINDEX,2025-01-06,1254.79,1230.48,1260.37,1230.48,1977412401
VNINDEX,2025-01-13,1226.66,1249.11,1249.11,1220.87,1760317169
VNINDEX,2025-01-20,1250.03,1265.05,1265.38,1242.53,1964320481
VNINDEX,2025-02-03,1259.09,1275.2,1279.35,1249.78,2487954471
VNINDEX,2025-02-10,1272.27,1276.08,1280.6,1263.11,2597140015
VNINDEX,2025-02-17,1277.12,1296.75,1296.75,1272.19,3253398727
VNINDEX,2025-02-24,1298.39,1305.36,1309.97,1294.69,3680024075
VNINDEX,2025-03-03,1306.97,1326.05,1327.07,1298.28,4083077727
VNINDEX,2025-03-10,1331.6,1326.15,1342.91,1315.92,4206256486
VNINDEX,2025-03-17,1330.62,1321.88,1341.65,1316.11,3766226946
VNINDEX,2025-03-24,1322.9,1317.46,1338.55,1315.72,3306134395
VNINDEX,2025-03-31,1313.51,1210.67,1324.46,1158.17,5263497255
VNINDEX,2025-04-08,1173.14,1222.46,1222.46,1073.61,4286054657
VNINDEX,2025-04-14,1235.01,1219.12,1246.21,1197.5,4201275142
VNINDEX,2025-04-21,1220.38,1229.23,1230.72,1136.98,4502388422
VNINDEX,2025-04-28,1234.3,1226.3,1234.3,1222.3,1066141655
VNINDEX,2025-05-05,1226.3,1267.3,1279.61,1226.3,3461078455
VNINDEX,2025-05-12,1267.3,1301.39,1318.03,1267.3,4535133238
VNINDEX,2025-05-19,1301.39,1314.46,1331.93,1291.66,4459750667
VNINDEX,2025-05-26,1314.46,1332.6,1348.31,1288.86,4724064069
VNINDEX,2025-06-02,1332.6,1329.89,1351.14,1322.95,4506881461
SSI,2025-01-06,25.35,23.7,25.5,23.5,68009208
SSI,2025-01-13,23.55,24.55,25.2,23.55,54443934
SSI,2025-01-20,24.65,25.25,25.25,24.35,52791100
SSI,2025-02-03,24.85,25.0,25.45,24.75,55301675
SSI,2025-02-10,24.95,24.9,25.3,24.65,58704685
SSI,2025-02-17,24.9,25.35,25.55,24.8,69242182
SSI,2025-02-24,25.3,26.3,26.8,25.25,137798167
SSI,2025-03-03,26.3,26.9,27.15,26.1,145222924
SSI,2025-03-10,27.0,26.95,27.4,26.35,178743719
SSI,2025-03-17,27.1,26.6,27.45,26.4,112728558
SSI,2025-03-24,26.75,26.35,27.45,26.05,106941968
SSI,2025-03-31,26.15,23.75,26.5,22.9,189858414
SSI,2025-04-08,23.0,23.45,23.45,20.6,175538587
SSI,2025-04-14,23.7,23.35,24.1,22.8,126917683
SSI,2025-04-21,23.4,22.8,23.5,21.3,113782790
SSI,2025-04-28,22.9,22.95,23.15,22.8,21849387
SSI,2025-05-05,23.4,22.95,23.5,22.75,78570777
SSI,2025-05-12,23.1,23.7,24.4,22.85,136311288
SSI,2025-05-19,23.55,23.35,23.9,23.25,103388210
SSI,2025-05-26,23.45,23.45,24.2,22.8,104610118
SSI,2025-06-02,23.35,23.6,24.85,23.35,142819939
VND,2025-01-06,12.3,11.45,12.4,11.4,36614360
VND,2025-01-13,11.35,12.15,12.25,11.25,46167305
VND,2025-01-20,12.2,12.0,12.3,11.7,37441756
VND,2025-02-03,11.95,12.8,13.15,11.6,77990903
VND,2025-02-10,12.7,12.75,12.95,12.55,48565340
VND,2025-02-17,12.8,13.35,13.5,12.75,80002618
VND,2025-02-24,13.15,13.6,13.95,13.1,84141709
VND,2025-03-03,13.6,13.7,13.9,13.3,73972645
VND,2025-03-10,13.9,14.95,15.3,13.85,186322612
VND,2025-03-17,15.0,15.35,15.65,14.65,135219521
VND,2025-03-24,15.35,15.7,15.9,15.1,115851732
VND,2025-03-31,15.45,14.6,16.0,13.8,135388345
VND,2025-04-08,14.2,14.4,14.4,12.65,85693457
VND,2025-04-14,14.7,15.65,16.2,14.65,126851442
VND,2025-04-21,15.5,14.7,15.6,14.3,126488963
VND,2025-04-28,14.8,14.6,14.9,14.6,16232596
VND,2025-05-05,14.9,14.9,15.2,14.45,50077201
VND,2025-05-12,14.9,15.2,15.7,14.8,69673121
VND,2025-05-19,15.25,15.55,16.15,14.6,112775935
VND,2025-05-26,15.55,15.7,16.5,15.05,133114805
VND,2025-06-02,15.75,16.45,17.7,15.6,197251018
VCI,2025-01-06,32.61,31.27,32.81,31.27,19450836
VCI,2025-01-13,30.98,32.22,33.01,30.73,16376539
VCI,2025-01-20,32.27,34.15,34.65,31.97,27224659
VCI,2025-02-03,34.05,34.4,35.15,33.56,37797299
VCI,2025-02-10,34.1,35.35,35.85,34.0,45019891
VCI,2025-02-17,35.45,36.25,36.6,35.2,44716979
VCI,2025-02-24,36.25,36.45,37.4,36.0,47892130
VCI,2025-03-03,36.5,38.95,39.2,36.25,53525882
VCI,2025-03-10,39.2,38.9,39.9,38.5,50689914
VCI,2025-03-17,39.1,39.1,39.7,38.6,43662248
VCI,2025-03-24,39.15,38.1,39.75,37.55,40548353
VCI,2025-03-31,37.8,37.0,39.55,33.8,61562349
VCI,2025-04-08,35.7,36.3,36.35,32.05,43680122
VCI,2025-04-14,36.55,37.05,38.65,36.05,53538557
VCI,2025-04-21,37.2,36.35,37.45,33.25,49584225
VCI,2025-04-28,36.45,37.0,37.0,36.2,11355723
VCI,2025-05-05,37.5,36.35,37.65,36.3,33079900
VCI,2025-05-12,36.4,37.55,38.5,35.95,50887063
VCI,2025-05-19,37.3,36.25,37.65,36.15,37173934
VCI,2025-05-26,36.4,36.0,37.55,35.4,41170945
VCI,2025-06-02,35.9,35.9,37.8,35.85,46467929
HCM,2025-01-06,27.58,26.32,27.68,26.32,32083844
HCM,2025-01-13,26.32,27.58,28.01,25.69,26862996
HCM,2025-01-20,27.77,28.3,28.45,27.48,26918789
HCM,2025-02-03,28.01,28.36,28.95,27.77,29885162
HCM,2025-02-10,28.31,28.85,29.49,27.82,47126763
HCM,2025-02-17,28.85,29.44,29.83,28.65,45270388
HCM,2025-02-24,29.44,30.67,31.36,29.19,70096748
HCM,2025-03-03,30.57,31.8,32.15,30.33,59207782
HCM,2025-03-10,31.95,31.31,32.2,31.02,51445910
HCM,2025-03-17,31.51,31.36,31.95,30.87,39878498
HCM,2025-03-24,31.36,30.42,32.1,29.88,60257490
HCM,2025-03-31,30.13,26.93,30.67,26.24,70630334
HCM,2025-04-08,25.8,26.34,26.58,23.34,59471982
HCM,2025-04-14,26.78,25.65,26.93,24.86,71059028
HCM,2025-04-21,25.4,24.47,25.6,22.35,79492030
HCM,2025-04-28,24.62,24.76,25.21,24.37,13272656
HCM,2025-05-05,25.21,25.4,25.85,24.76,47603374
HCM,2025-05-12,25.5,26.4,27.05,25.11,58887376
HCM,2025-05-19,26.15,25.15,26.15,25.15,50125999
HCM,2025-05-26,25.2,25.6,26.4,24.65,53371560
HCM,2025-06-02,25.5,25.55,27.2,25.4,65217976
SHS,2025-01-06,10.57,9.64,10.65,9.13,27148169
SHS,2025-01-13,8.96,10.32,10.4,8.54,35255184
SHS,2025-01-20,9.55,10.82,10.91,9.55,46535368
SHS,2025-02-03,10.65,11.5,11.84,9.89,70582037
SHS,2025-02-10,11.41,11.58,11.75,10.32,47959642
SHS,2025-02-17,11.5,12.01,12.26,11.5,54807496
SHS,2025-02-24,10.82,12.09,12.51,10.82,54240984
SHS,2025-03-03,12.01,12.18,12.18,11.41,75782744
SHS,2025-03-10,12.18,12.6,12.94,11.41,74056810
SHS,2025-03-17,12.51,12.43,13.02,11.41,51311293
SHS,2025-03-24,12.51,12.43,12.94,11.5,50402303
SHS,2025-03-31,12.34,11.24,12.77,10.48,89418635
SHS,2025-04-08,10.99,11.58,11.84,9.13,71980097
SHS,2025-04-14,11.67,12.43,12.77,11.16,82458224
SHS,2025-04-21,11.33,12.3,13.3,11.08,91732219
SHS,2025-04-28,12.3,12.3,12.5,12.2,15806018
