ticker,time,open,close,high,low,volume
VNINDEX,2025-02-03,1259.09,1275.2,1279.35,1249.78,2487954471
VNINDEX,2025-02-10,1272.27,1276.08,1280.6,1263.11,2597140015
VNINDEX,2025-02-17,1277.12,1296.75,1296.75,1272.19,3253398727
VNINDEX,2025-02-24,1298.39,1305.36,1309.97,1294.69,3680024075
VNINDEX,2025-03-03,1306.97,1326.05,1327.07,1298.28,4083077727
VNINDEX,2025-03-10,1331.6,1326.15,1342.91,1315.92,4206256486
VNINDEX,2025-03-17,1330.62,1321.88,1341.65,1316.11,3766226946
VNINDEX,2025-03-24,1322.9,1317.46,1338.55,1315.72,3306134395
VNINDEX,2025-03-31,1313.51,1210.67,1324.46,1158.17,5263497255
VNINDEX,2025-04-08,1173.14,1222.46,1222.46,1073.61,4286054657
VNINDEX,2025-04-14,1235.01,1219.12,1246.21,1197.5,4201275142
VNINDEX,2025-04-21,1220.38,1229.23,1230.72,1136.98,4502388422
VNINDEX,2025-04-28,1234.3,1226.3,1234.3,1222.3,1066141655
VNINDEX,2025-05-05,1226.3,1267.3,1279.61,1226.3,3461078455
VNINDEX,2025-05-12,1267.3,1301.39,1318.03,1267.3,4535133238
VNINDEX,2025-05-19,1301.39,1314.46,1331.93,1291.66,4459750667
VNINDEX,2025-05-26,1314.46,1332.6,1348.31,1288.86,4724064069
VNINDEX,2025-06-02,1332.6,1329.89,1351.14,1322.95,4506881461
VNINDEX,2025-06-09,1329.89,1315.49,1331.56,1299.94,3944071242
VNINDEX,2025-06-16,1315.49,1349.35,1356.78,1307.37,3743490323
VNINDEX,2025-06-23,1349.35,1371.44,1373.28,1338.49,3630739698
VNINDEX,2025-06-30,1371.44,1386.97,1392.39,1369.74,4366082999
VNINDEX,2025-07-07,1386.97,1457.76,1463.91,1386.97,6153326750
VNINDEX,2025-07-14,1471.4,1497.28,1501.2,1447.72,6687469971
VNINDEX,2025-07-21,1508.6,1531.13,1534.51,1476.61,6860976648
DGC,2025-02-03,111.4,111.1,111.9,109.9,5474023
DGC,2025-02-10,110.5,108.0,110.5,106.3,6892043
DGC,2025-02-17,108.0,109.5,112.2,106.5,7220764
DGC,2025-02-24,109.4,111.5,112.8,108.0,7872994
DGC,2025-03-03,112.5,111.2,115.6,109.3,10695115
DGC,2025-03-10,111.2,107.0,111.7,106.8,9165934
DGC,2025-03-17,107.4,104.9,108.6,104.3,7675054
DGC,2025-03-24,105.0,102.9,106.8,102.5,6372003
DGC,2025-03-31,101.6,84.5,102.1,84.1,18246929
DGC,2025-04-08,79.1,83.6,84.0,73.1,11259545
DGC,2025-04-14,89.4,88.5,91.8,85.6,12942188
DGC,2025-04-21,88.6,91.2,92.5,81.5,8625559
DGC,2025-04-28,90.6,91.0,92.9,89.9,1753471
DGC,2025-05-05,92.5,91.7,94.7,90.8,6229061
DGC,2025-05-12,92.4,91.9,94.5,91.2,11675138
DGC,2025-05-19,91.1,87.8,91.1,87.8,8752945
DGC,2025-05-26,87.5,89.9,93.0,87.3,7857318
DGC,2025-06-02,89.0,89.8,91.9,88.0,6031576
DGC,2025-06-09,89.8,92.7,95.5,88.1,12202491
DGC,2025-06-16,93.1,96.8,99.0,93.1,13131249
DGC,2025-06-23,96.0,98.9,99.5,95.0,9680918
DGC,2025-06-30,100.6,102.0,104.2,99.5,12028145
DGC,2025-07-07,102.6,103.7,104.6,100.5,13371584
DGC,2025-07-14,104.2,102.6,106.2,101.5,11541469
DGC,2025-07-21,102.6,105.2,106.5,101.7,12956482
DCM,2025-02-03,31.64,32.73,33.15,31.55,7578687
DCM,2025-02-10,32.73,34.0,34.38,32.02,15116098
DCM,2025-02-17,34.0,33.91,34.52,33.53,9925779
DCM,2025-02-24,33.96,33.39,34.57,33.25,11224381
DCM,2025-03-03,33.58,33.34,33.86,32.96,9070366
DCM,2025-03-10,33.39,32.07,33.48,31.92,12387192
DCM,2025-03-17,32.21,32.11,32.58,31.97,6994796
DCM,2025-03-24,32.4,31.78,32.4,31.78,5900359
DCM,2025-03-31,31.69,27.01,31.74,27.01,14021818
DCM,2025-04-08,25.41,27.2,27.2,23.38,14316652
DCM,2025-04-14,27.58,29.14,29.75,27.58,14562099
DCM,2025-04-21,29.61,30.08,30.18,27.25,11960411
DCM,2025-04-28,30.46,30.51,30.98,30.22,3428086
DCM,2025-05-05,30.79,31.92,33.06,30.74,11885191
DCM,2025-05-12,31.88,31.64,32.4,31.45,11161729
DCM,2025-05-19,31.55,32.54,32.77,30.93,14376538
DCM,2025-05-26,32.58,31.26,33.01,31.17,14819936
DCM,2025-06-02,31.26,31.88,33.29,31.07,20639339
DCM,2025-06-09,31.74,32.21,32.96,31.5,14909937
DCM,2025-06-16,32.73,34.38,34.95,32.73,29014764
DCM,2025-06-23,34.95,33.65,35.51,33.55,24606362
DCM,2025-06-30,33.7,33.4,34.05,33.3,16611673
DCM,2025-07-07,33.6,33.8,34.6,33.55,24008154
DCM,2025-07-14,33.85,33.8,34.8,33.5,21961117
DCM,2025-07-21,33.95,35.6,36.2,33.85,35618058
DPM,2025-02-03,33.32,33.56,34.37,33.08,10829251
DPM,2025-02-10,33.65,34.76,35.38,33.08,20274738
DPM,2025-02-17,34.95,35.77,35.96,34.61,25497005
DPM,2025-02-24,35.67,35.29,36.34,35.0,19457582
DPM,2025-03-03,35.48,35.43,36.06,34.66,17494955
DPM,2025-03-10,35.58,34.28,35.86,34.18,18009099
DPM,2025-03-17,34.52,34.08,34.81,33.99,7803997
DPM,2025-03-24,34.13,33.99,34.71,33.75,7987891
DPM,2025-03-31,33.94,30.48,34.42,29.42,15781580
DPM,2025-04-08,28.84,30.58,30.58,26.39,13769661
DPM,2025-04-14,30.77,31.63,32.5,30.67,12155865
DPM,2025-04-21,31.73,31.25,31.97,29.52,8916205
DPM,2025-04-28,31.3,31.44,31.92,31.3,2448394
DPM,2025-05-05,31.63,32.6,33.08,31.63,10248091
DPM,2025-05-12,32.6,32.55,33.27,32.26,7777297
DPM,2025-05-19,32.55,32.31,32.79,31.92,10055305
DPM,2025-05-26,32.4,32.07,33.27,31.73,14178679
DPM,2025-06-02,32.07,32.31,32.98,31.68,13618494
DPM,2025-06-09,32.31,34.23,34.47,32.21,22300438
DPM,2025-06-16,34.85,36.87,37.69,34.57,33975756
DPM,2025-06-23,37.21,36.34,37.88,36.01,24365893
DPM,2025-06-30,36.44,36.97,37.69,36.44,20917779
DPM,2025-07-07,37.6,37.16,38.27,37.07,20416719
DPM,2025-07-14,37.45,38.35,38.95,37.11,25788089
DPM,2025-07-21,39.0,41.3,42.4,38.75,30796485
LAS,2025-02-03,17.42,18.09,18.37,16.1,1929881
LAS,2025-02-10,18.09,18.46,18.94,17.71,2776537
LAS,2025-02-17,18.46,18.65,18.84,18.27,2946327
LAS,2025-02-24,18.65,18.56,19.22,18.27,3869371
LAS,2025-03-03,18.65,18.46,19.03,18.18,2728452
LAS,2025-03-10,18.46,17.99,18.84,17.8,3283262
LAS,2025-03-17,17.99,17.61,17.99,17.42,1929514
LAS,2025-03-24,17.61,17.42,17.71,16.0,1187962
LAS,2025-03-31,17.52,14.39,17.52,13.92,3484410
LAS,2025-04-08,13.92,14.39,14.49,11.74,4368619
LAS,2025-04-14,15.06,16.57,16.76,14.58,3424025
LAS,2025-04-21,16.57,16.76,17.23,15.24,3752652
LAS,2025-04-28,16.76,17.04,17.52,16.76,945657
LAS,2025-05-05,17.14,18.56,19.13,16.29,5277976
LAS,2025-05-12,18.56,18.37,18.94,17.99,3403280
LAS,2025-05-19,18.37,19.13,19.51,18.27,8034859
LAS,2025-05-26,19.22,19.89,20.64,18.94,9381900
LAS,2025-06-02,19.89,20.64,21.02,19.51,7578535
LAS,2025-06-09,20.17,20.55,21.02,19.89,6005274
LAS,2025-06-16,20.55,21.4,22.25,20.55,8854980
LAS,2025-06-23,21.4,20.5,22.0,20.4,5293997
LAS,2025-06-30,20.6,21.0,21.5,20.6,4784390
LAS,2025-07-07,21.0,20.5,21.4,20.4,5934877
LAS,2025-07-14,20.8,19.4,20.8,19.0,9055021
LAS,2025-07-21,19.5,20.2,20.7,19.3,8134714
DDV,2025-02-03,17.23,17.81,18.2,17.04,4631508
DDV,2025-02-10,17.81,18.88,19.36,17.43,8659289
DDV,2025-02-17,18.88,18.68,19.36,18.59,7888339
DDV,2025-02-24,18.68,19.65,20.52,18.59,13342367
DDV,2025-03-03,19.65,19.17,20.14,18.59,10833903
DDV,2025-03-10,19.26,18.1,19.36,18.01,10206356
DDV,2025-03-17,18.1,18.78,19.07,18.01,8392780
DDV,2025-03-24,18.98,19.17,19.65,18.59,8750990
DDV,2025-03-31,19.07,16.56,19.07,15.2,12092866
DDV,2025-04-08,15.97,16.65,16.84,12.2,10356826
DDV,2025-04-14,16.75,17.62,18.1,16.56,9070099
DDV,2025-04-21,18.3,20.52,21.4,17.62,19526332
DDV,2025-04-28,20.72,21.2,22.17,20.23,4304948
DDV,2025-05-05,21.1,21.78,23.14,21.1,14494223
DDV,2025-05-12,21.78,22.94,23.14,21.3,14885393
DDV,2025-05-19,22.94,23.52,24.4,22.07,13332843
DDV,2025-05-26,23.52,24.01,25.07,23.04,16555134
DDV,2025-06-02,24.11,24.2,25.85,23.72,13497786
DDV,2025-06-09,24.2,25.75,26.33,23.33,14255887
DDV,2025-06-16,26.14,27.8,29.04,25.75,11235948
DDV,2025-06-23,27.7,27.7,28.8,27.0,9117823
DDV,2025-06-30,27.8,28.4,28.7,27.4,8328021
DDV,2025-07-07,28.4,27.9,29.2,27.7,10952213
DDV,2025-07-14,28.1,29.9,30.9,27.4,10118002
DDV,2025-07-21,30.7,30.7,31.3,29.3,9694665
BFC,2025-02-03,38.0,40.36,41.12,37.34,3848353
BFC,2025-02-10,40.17,40.36,41.59,39.84,3258594
BFC,2025-02-17,40.36,40.88,41.12,39.23,3774939
BFC,2025-02-24,40.88,40.22,41.97,39.89,3594568
BFC,2025-03-03,40.32,40.46,41.45,39.7,3473850
BFC,2025-03-10,40.6,37.81,40.65,37.76,2388449
BFC,2025-03-17,38.57,38.19,38.76,37.62,1067056
BFC,2025-03-24,38.19,38.71,39.23,37.39,1153081
BFC,2025-03-31,38.62,35.64,39.23,33.75,2072959
BFC,2025-04-08,33.18,35.92,36.58,30.86,1442233
BFC,2025-04-14,36.11,37.76,38.76,36.11,2178955
BFC,2025-04-21,38.47,38.8,40.17,37.06,2541491
BFC,2025-04-28,38.8,38.62,39.61,38.47,636816
BFC,2025-05-05,39.23,42.44,44.05,38.66,7114537
BFC,2025-05-12,42.73,42.26,43.86,41.59,5346367
BFC,2025-05-19,42.11,44.43,45.28,41.59,6769056
BFC,2025-05-26,44.43,44.15,46.22,43.48,5994478
BFC,2025-06-02,43.96,44.38,46.98,43.58,6378331
BFC,2025-06-09,44.43,43.9,44.52,42.16,4363750
BFC,2025-06-16,44.5,47.6,48.9,44.5,7578357
BFC,2025-06-23,47.5,45.7,49.0,45.0,5774459
BFC,2025-06-30,45.95,46.05,47.9,45.8,4287111
BFC,2025-07-07,46.3,45.0,48.5,43.5,4580682
BFC,2025-07-14,45.4,44.75,46.4,44.15,3340139
BFC,2025-07-21,44.45,46.55,48.0,44.45,5733754
CSV,2025-02-03,41.05,41.88,43.78,40.91,9165598
CSV,2025-02-10,41.88,44.46,44.99,41.49,12231942
CSV,2025-02-17,44.41,42.66,45.19,41.83,12626967
CSV,2025-02-24,42.41,42.36,42.85,41.54,9323093
CSV,2025-03-03,42.41,41.98,43.63,41.68,9535037
CSV,2025-03-10,41.98,38.91,42.27,38.91,8449542
CSV,2025-03-17,39.4,39.01,39.93,38.86,4225547
CSV,2025-03-24,39.3,39.06,40.32,38.91,3889628
CSV,2025-03-31,38.67,32.05,38.91,32.05,6814188
CSV,2025-04-08,29.82,30.98,31.13,27.63,4562056
CSV,2025-04-14,31.62,30.89,34.1,28.6,7679250
CSV,2025-04-21,31.13,31.32,32.44,28.36,6983654
CSV,2025-04-28,31.86,31.32,32.3,31.03,1796338
CSV,2025-05-05,31.86,33.76,35.51,31.47,9188933
CSV,2025-05-12,34.05,33.9,35.31,32.93,8266873
CSV,2025-05-19,33.42,33.17,34.05,32.78,6549018
CSV,2025-05-26,33.17,33.22,35.07,32.35,8468540
CSV,2025-06-02,33.22,34.15,35.46,32.93,8856585
CSV,2025-06-09,34.34,35.51,35.7,33.17,9967188
CSV,2025-06-16,36.33,35.1,36.67,35.0,10228669
CSV,2025-06-23,34.95,35.85,36.15,34.95,7152504
CSV,2025-06-30,35.95,35.75,37.25,35.6,10293149
CSV,2025-07-07,36.1,35.75,36.9,35.65,8918575
CSV,2025-07-14,35.75,35.65,36.65,35.3,8512729
CSV,2025-07-21,35.7,37.8,39.3,35.7,16682532
