ticker,time,open,close,high,low,volume
VNINDEX,2025-06-02,1330.71,1329.89,1351.14,1322.95,4506881461
VNINDEX,2025-06-09,1329.66,1315.49,1331.56,1299.94,3944071242
VNINDEX,2025-06-16,1313.4,1349.35,1356.78,1307.37,3743490323
VNINDEX,2025-06-23,1345.24,1371.44,1373.28,1338.49,3630739698
VNINDEX,2025-06-30,1374.9,1386.97,1392.39,1369.74,4366082999
VNINDEX,2025-07-07,1393.34,1457.76,1463.91,1386.97,6153326750
VNINDEX,2025-07-14,1471.4,1497.28,1501.2,1447.72,6687469971
VNINDEX,2025-07-21,1508.6,1531.13,1534.51,1476.61,6860976648
VNINDEX,2025-07-28,1541.82,1495.21,1566.74,1479.98,9109177591
VNINDEX,2025-08-04,1493.37,1584.95,1592.52,1491.11,8690085492
VNINDEX,2025-08-11,1590.98,1630.0,1666.54,1584.95,8813453859
VNINDEX,2025-08-18,1638.37,1645.47,1693.68,1614.6,9468446879
VNINDEX,2025-08-25,1659.7,1682.21,1696.6,1601.65,6728252666
VNINDEX,2025-09-03,1682.11,1666.97,1711.49,1665.45,4194587852
VNINDEX,2025-09-08,1660.91,1667.26,1675.38,1605.76,5833252601
VNINDEX,2025-09-15,1672.59,1658.62,1697.26,1638.44,5055256805
VNINDEX,2025-09-22,1656.66,1660.7,1671.43,1616.02,4560154923
VNINDEX,2025-09-29,1659.24,1645.82,1679.73,1637.95,4078951477
VNINDEX,2025-10-06,1673.16,1747.55,1747.57,1643.23,4867270315
VNINDEX,2025-10-13,1738.23,1731.19,1794.58,1727.8,6144510142
VNINDEX,2025-10-20,1723.59,1683.18,1727.11,1622.37,5717360317
VNINDEX,2025-10-27,1696.45,1639.65,1697.16,1621.52,4149260606
VCB,2025-06-02,56.09,55.7,56.59,55.7,14623958
VCB,2025-06-09,55.8,55.8,56.69,55.2,14707797
VCB,2025-06-16,55.8,56.69,57.09,55.8,22205836
VCB,2025-06-23,56.29,56.29,56.89,55.99,15679824
VCB,2025-06-30,56.59,57.98,58.38,56.49,28207377
VCB,2025-07-07,58.08,62.25,62.65,57.78,55830364
VCB,2025-07-14,62.45,61.45,62.45,60.56,37357763
VCB,2025-07-21,61.75,61.55,63.04,60.46,29865391
VCB,2025-07-28,61.75,59.77,62.74,59.27,39228705
VCB,2025-08-04,59.67,61.45,63.24,59.57,47961850
